Level,Date and Time,Source,Event ID,Task Category
Error,2025-03-15 11:17:52 AM,Universal Print,1,None,"The description for Event ID 1 from source Universal Print cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Failed to get auth header with 0x8086000c
mcpmanagementservice.dll

The locale specific resource for the desired message is not present
"
Error,2025-03-15 11:17:52 AM,Universal Print,1,None,"The description for Event ID 1 from source Universal Print cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

User Interaction Required while trying to get a token silently. ErrorCode: 0xcaa10001, Error: Need user interaction to continue.
mcpmanagementservice.dll

The locale specific resource for the desired message is not present
"
Information,2025-03-15 11:17:52 AM,Universal Print,1,None,"The description for Event ID 1 from source Universal Print cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Device is Workplace Joined.
mcpmanagementservice.dll

The locale specific resource for the desired message is not present
"
Error,2025-03-15 11:17:50 AM,Universal Print,1,None,"The description for Event ID 1 from source Universal Print cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Failed to get auth header with 0x8086000c
mcpmanagementservice.dll

The locale specific resource for the desired message is not present
"
Error,2025-03-15 11:17:50 AM,Universal Print,1,None,"The description for Event ID 1 from source Universal Print cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

User Interaction Required while trying to get a token silently. ErrorCode: 0xcaa10001, Error: Need user interaction to continue.
mcpmanagementservice.dll

The locale specific resource for the desired message is not present
"
Information,2025-03-15 11:17:50 AM,Universal Print,1,None,"The description for Event ID 1 from source Universal Print cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Device is Workplace Joined.
mcpmanagementservice.dll

The locale specific resource for the desired message is not present
"
Error,2025-03-15 11:17:49 AM,Universal Print,1,None,"The description for Event ID 1 from source Universal Print cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Failed to get auth header with 0x8086000c
mcpmanagementservice.dll

The locale specific resource for the desired message is not present
"
Error,2025-03-15 11:17:49 AM,Universal Print,1,None,"The description for Event ID 1 from source Universal Print cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

User Interaction Required while trying to get a token silently. ErrorCode: 0xcaa10001, Error: Need user interaction to continue.
mcpmanagementservice.dll

The locale specific resource for the desired message is not present
"
Information,2025-03-15 11:17:48 AM,Universal Print,1,None,"The description for Event ID 1 from source Universal Print cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Device is Workplace Joined.
mcpmanagementservice.dll

The locale specific resource for the desired message is not present
"
Information,2025-03-15 11:08:57 AM,DellTechHub,0,None,PowerEvent handled successfully by the service.
Information,2025-03-15 11:08:57 AM,igcc,0,None,PowerEvent handled successfully by the service.
Information,2025-03-15 11:08:57 AM,Dell SupportAssist Remediation,0,None,PowerEvent handled successfully by the service.
Information,2025-03-15 11:08:57 AM,FusionService,0,None,PowerEvent handled successfully by the service.
Information,2025-03-15 11:06:33 AM,Microsoft-Windows-RestartManager,10005,None,Machine restart is required.
Warning,2025-03-15 11:06:32 AM,Microsoft-Windows-RestartManager,10010,None,Application 'C:\Program Files\Microsoft Office\root\Office16\VISIO.EXE' (pid 21572) cannot be restarted - Application SID does not match Conductor SID..
Warning,2025-03-15 11:06:32 AM,Microsoft-Windows-RestartManager,10010,None,Application 'C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\opushutil.exe' (pid 13316) cannot be restarted - Application SID does not match Conductor SID..
Warning,2025-03-15 11:06:32 AM,Microsoft-Windows-RestartManager,10010,None,Application 'C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE' (pid 27308) cannot be restarted - Application SID does not match Conductor SID..
Warning,2025-03-15 11:06:32 AM,Microsoft-Windows-RestartManager,10010,None,Application 'C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE' (pid 2928) cannot be restarted - Application SID does not match Conductor SID..
Warning,2025-03-15 11:06:32 AM,Microsoft-Windows-RestartManager,10010,None,Application 'C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\AI\ai.exe' (pid 35856) cannot be restarted - Application SID does not match Conductor SID..
Warning,2025-03-15 11:06:32 AM,Microsoft-Windows-RestartManager,10010,None,Application 'C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\AI\ai.exe' (pid 39344) cannot be restarted - Application SID does not match Conductor SID..
Warning,2025-03-15 11:06:32 AM,Microsoft-Windows-RestartManager,10010,None,Application 'C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\AI\ai.exe' (pid 19360) cannot be restarted - Application SID does not match Conductor SID..
Information,2025-03-15 11:06:32 AM,Microsoft-Windows-RestartManager,10000,None,Starting session 0 - ‎2025‎-‎03‎-‎15T15:06:32.027945500Z.
Information,2025-03-15 11:06:28 AM,Microsoft-Windows-RestartManager,10000,None,Starting session 1 - ‎2025‎-‎03‎-‎15T15:06:28.625255800Z.
Information,2025-03-15 9:43:45 AM,Microsoft-Windows-Security-SPP,16384,None,Successfully scheduled Software Protection service for re-start at 2125-02-19T13:43:45Z. Reason: RulesEngine.
Information,2025-03-15 9:43:29 AM,VSS,8224,None,The VSS service is shutting down due to idle timeout. 
Information,2025-03-15 9:43:14 AM,Microsoft-Windows-Security-SPP,16394,None,Offline downlevel migration succeeded.
Information,2025-03-15 9:42:37 AM,Microsoft-Windows-Security-SPP,16384,None,Successfully scheduled Software Protection service for re-start at 2125-02-19T13:42:37Z. Reason: RulesEngine.
Information,2025-03-15 9:42:07 AM,Microsoft-Windows-Security-SPP,16394,None,Offline downlevel migration succeeded.
Information,2025-03-15 9:39:05 AM,Windows Error Reporting,1001,None,"Fault bucket 1491826598999275900, type 5
Event Name: StoreAgentInstallFailure1
Response: Not available
Cab Id: 0

Problem signature:
P1: Update;ScanForUpdatesForUser
P2: 80073d02
P3: 22631
P4: 4890
P5: Windows.Desktop
P6: V
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.d77db4c9-249b-4ed4-a04b-330d879e4196.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Update;ScanForUp_ef60e7e4e6114473cf77865f52edff32c01fe733_00000000_8c57e96e-a6e8-49c1-9358-1fbd7147311f

Analysis symbol: 
Rechecking for solution: 0
Report Id: 8c57e96e-a6e8-49c1-9358-1fbd7147311f
Report Status: 268435456
Hashed bucket: 1e9c03d7ba8cb1bc14b4086343d4b97c
Cab Guid: 0"
Information,2025-03-15 9:39:03 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.eb7718ad-9650-456f-b6f2-329b37eab7b9.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_a38828fd-afae-48a5-95de-c1c76d440ca1

Analysis symbol: 
Rechecking for solution: 0
Report Id: bd869966-7a14-4fdb-9c8c-304fac965626
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
